id,fk_difficulty_id,fk_pattern_description_id
3,70,1
1,71,1
5,71,10
7,69,15
171,67,195
172,70,196
173,71,197
174,69,198
175,69,199
176,71,200
177,67,201
178,70,202
179,71,203
180,71,204
181,67,205
182,69,206
183,69,207
184,68,208
185,70,209
186,69,210
187,71,211
188,70,212
189,67,213
190,71,214
191,70,215
192,70,216
193,68,217
194,71,218
195,70,219
196,70,220
197,71,221
198,70,222
199,71,223
200,68,224
201,69,225
202,70,226
203,71,227
204,70,228
205,68,229
206,70,230
207,71,231
208,68,232
209,68,233
210,68,234
211,71,235
212,71,236
213,67,237
214,71,238
215,69,239
216,71,240
217,71,241
218,70,242
219,71,243
220,71,244
225,67,249
228,67,252
231,67,255
232,70,256
233,70,257
234,69,258
235,71,259
238,67,262
239,71,263
240,71,264
241,71,265
242,71,266
243,71,267
244,68,268
245,71,269
248,67,272
249,67,273
250,71,274
251,67,275
252,71,276
255,71,279
256,69,280
257,70,281
260,71,284
261,70,285
262,67,286
263,71,287
264,71,288
265,71,289
266,71,290
267,67,291
268,71,292
269,67,293
270,70,294
271,67,295
272,67,296
273,68,297
274,70,298
275,67,299
276,69,300
277,71,301
278,70,302
279,69,303
282,68,306
283,71,307
284,68,308
285,67,309
286,69,310
287,70,311
288,67,312
291,67,315
292,69,316
293,68,317
294,70,318
295,68,319
296,68,320
297,70,321
298,67,322
303,70,327
304,67,328
305,69,329
306,70,330
307,70,331
308,71,332
309,70,333
310,67,334
311,69,335
312,68,336
313,70,337
314,70,338
315,67,339
316,71,340
321,71,345
322,70,346
323,69,347
324,69,348
325,70,349
326,71,350
327,71,351
328,71,352
329,71,353
330,70,354
335,67,359
338,70,362
339,70,363
344,71,368
345,70,369
346,71,370
347,67,371
348,71,372
349,71,373
350,67,374
353,67,377
354,71,378
355,70,379
356,71,380
359,67,383
360,71,384
361,70,385
362,67,386
363,70,387
364,71,388
365,71,389
366,71,390
367,70,391
368,70,392
369,71,393
370,69,394
371,70,395
372,67,396
373,69,397
374,67,398
375,70,399
376,70,400
377,70,401
378,68,402
379,70,403
382,71,406
385,71,409
386,67,410
387,67,411
388,68,412
389,69,413
390,67,414
391,71,415
392,67,416
393,71,417
394,68,418
395,71,419
396,71,420
397,71,421
400,71,424
401,68,425
402,70,426
403,70,427
404,70,428
405,68,429
406,71,430
407,70,431
408,67,432
409,71,433
410,68,434
411,71,435
412,69,436
415,67,439
418,71,442
419,71,443
420,71,444
421,69,445
422,67,446
423,71,447
424,69,448
425,71,449
426,71,450
427,67,451
428,68,452
429,67,453
430,68,454
431,67,455
432,69,456
433,69,457
434,67,458
437,69,461
438,70,462
439,67,463
440,69,464
441,71,465
442,70,466
443,69,467
444,70,468
445,71,469
452,71,476
453,69,477
454,71,478
455,70,479
458,71,482
459,68,483
460,70,484
461,69,485
462,71,486
463,71,487
466,70,490
467,69,491
468,70,492
469,68,493
470,70,494
471,69,495
472,68,496
473,67,497
474,67,498
475,70,499
476,70,500
477,67,501
478,68,502
479,68,503
480,69,504
481,71,505
482,67,506
483,69,507
484,71,508
485,67,509
486,71,510
487,70,511
488,71,512
489,69,513
490,69,514
493,70,517
494,67,518
495,71,519
498,70,522
499,71,523
502,67,526
507,71,531
508,71,532
509,71,533
510,69,534
513,70,537
514,69,538
515,70,539
516,70,540
517,71,541
518,71,542
519,71,543
520,69,544
521,70,545
522,68,546
523,71,547
524,71,548
525,70,549
526,69,550
529,68,553
530,71,554
533,67,557
534,69,558
537,67,561
538,67,562
539,71,563
540,68,564
541,69,565
542,69,566
543,69,567
544,71,568
547,69,571
548,67,572
549,71,573
550,67,574
551,68,575
552,69,576
553,67,577
554,71,578
555,67,579
556,68,580
557,67,581
558,70,582
559,71,583
560,68,584
561,67,585
562,67,586
563,71,587
564,70,588
565,70,589
566,71,590
567,70,591
568,67,592
569,69,593
570,69,594
571,71,595
572,67,596
573,68,597
574,71,598
575,69,599
576,70,600
577,70,601
578,67,602
579,71,603
580,69,604
581,71,605
582,69,606
583,70,607
584,71,608
585,67,609
586,68,610
587,71,611
588,71,612
589,67,613
590,70,614
593,67,617
594,71,618
595,68,619
596,70,620
597,69,621
598,71,622
601,70,625
602,70,626
607,67,631
608,67,632
609,69,633
610,71,634
613,70,637
614,67,638
617,71,641
620,71,644
621,67,645
622,68,646
623,70,647
626,70,650
627,67,651
628,71,652
629,70,653
630,68,654
631,69,655
632,70,656
633,68,657
634,71,658
635,68,659
636,69,660
637,69,661
638,67,662
639,70,663
640,69,664
641,69,665
642,70,666
647,70,671
648,69,672
649,70,673
650,71,674
651,71,675
652,71,676
653,69,677
654,67,678
655,67,679
656,71,680
657,68,681
658,67,682
659,69,683
660,67,684
661,67,685
662,67,686
663,70,687
664,67,688
665,68,689
666,68,690
667,67,691
668,71,692
669,71,693
670,70,694
671,67,695
672,69,696
673,71,697
674,67,698
675,69,699
676,69,700
677,71,701
678,67,702
679,67,703
680,71,704
681,71,705
682,71,706
683,67,707
684,69,708
685,67,709
686,70,710
687,67,711
688,70,712
689,70,713
690,67,714
691,68,715
692,69,716
693,69,717
694,70,718
695,67,719
696,68,720
697,70,721
698,67,722
699,68,723
700,67,724
701,68,725
702,68,726
705,67,729
712,71,736
717,71,741
718,67,742
723,70,747
724,67,748
727,67,751
728,70,752
731,67,755
732,70,756
733,71,757
738,67,762
741,69,765
742,71,766
743,71,767
744,67,768
747,67,771
750,68,774
751,71,775
752,67,776
753,67,777
754,70,778
755,71,779
756,71,780
757,70,781
758,69,782
759,71,783
760,71,784
761,69,785
762,71,786
763,67,787
764,70,788
765,71,789
766,68,790
767,70,791
768,71,792
769,71,793
776,69,800
777,70,801
778,71,802
779,68,803
780,71,804
781,67,805
782,71,806
783,68,807
784,68,808
785,70,809
786,70,810
787,70,811
788,71,812
789,71,813
790,71,814
791,70,815
792,71,816
793,71,817
794,69,818
795,68,819
796,69,820
797,68,821
798,71,822
799,69,823
800,67,824
803,69,827
804,71,828
805,67,829
806,67,830
807,71,831
810,70,834
813,71,837
814,68,838
815,70,839
816,71,840
817,71,841
818,70,842
819,70,843
820,69,844
821,70,845
822,71,846
823,70,847
824,71,848
825,69,849
826,71,850
827,70,851
828,68,852
829,69,853
830,71,854
833,67,857
834,70,858
835,71,859
836,70,860
837,70,861
838,71,862
841,70,865
842,67,866
843,69,867
844,71,868
845,71,869
846,71,870
847,67,871
848,71,872
851,71,875
852,68,876
853,70,877
854,71,878
855,71,879
856,71,880
859,71,883
860,68,884
861,67,885
862,67,886
863,69,887
866,69,890
867,67,891
868,67,892
869,70,893
870,71,894
871,67,895
872,70,896
873,71,897
874,69,898
875,70,899
876,71,900
877,68,901
878,70,902
879,71,903
880,71,904
881,67,905
882,70,906
883,70,907
884,71,908
885,71,909
886,68,910
887,69,911
888,70,912
889,71,913
890,69,914
891,69,915
892,70,916
893,67,917
894,70,918
895,67,919
898,67,922
899,70,923
900,69,924
901,67,925
902,71,926
905,67,929
906,67,930
907,70,931
908,70,932
909,70,933
912,71,936
913,71,937
914,67,938
915,70,939
916,67,940
917,70,941
918,70,942
919,69,943
920,67,944
925,71,949
928,70,952
929,71,953
930,67,954
931,68,955
932,69,956
933,68,957
934,67,958
935,68,959
936,68,960
937,69,961
940,68,964
941,67,965
942,71,966
947,70,971
948,70,972
949,67,973
950,69,974
951,71,975
952,71,976
953,71,977
954,67,978
955,69,979
956,71,980
957,70,981
958,71,982
959,71,983
960,68,984
961,71,985
962,70,986
963,69,987
964,69,988
965,67,989
966,67,990
969,67,993
970,70,994
971,70,995
972,67,996
973,71,997
974,70,998
975,67,999
976,67,1000
977,67,1001
978,70,1002
979,71,1003
980,71,1004
981,67,1005
982,70,1006
983,71,1007
984,67,1008
985,67,1009
